ACCOUNT_ID,REGISTRATION_NUMBER,ORGANIZATION_NAME,ADDRESS_LINE1,ADDRESS_LINE2,CITY,PROVINCE,POSTAL_CODE,CONTACT_NAME,CONTACT_PHONE,CONTACT_EMAIL,LICENCE_NUMBER,PRODUCER_ROLE,BREEDER_ROLE,HATCHERY_ROLE,GRADER_ROLE,STATUS,CREATED_AT,UPDATED_AT
0822e8f3-6c03-1199-972a-846916419f82,NS-1000,Hants Poultry Ltd.,96 Rural Route,,Truro,NS,B2N 8V0,Dana MacLeod,(902) 774-4257,dana.macleod@example-farm.ca,LIC-95181,True,False,False,False,Active,2026-09-10 10:37:54.209881,2026-09-10 10:37:54.209881
6142ea7d-17be-3111-1a2a-73ed562b0f79,NS-1001,Colchester Family Farm,368 Highway,Unit A,Antigonish,NS,B2G 0Z7,Dana Gordon,(902) 749-3045,dana.gordon@example-farm.ca,LIC-59615,True,False,True,False,Active,2026-09-10 10:37:54.209881,2026-09-10 10:37:54.209881
19db3ad0-ddd1-dfb2-3b98-2ef8daf61a26,NS-1002,LaHave Farm Ltd.,285 Farm Rd,Unit A,Bridgewater,NS,B4V 2M5,Chris MacKenzie,(902) 414-5374,chris.mackenzie@example-farm.ca,LIC-99593,True,False,False,False,Active,2026-09-10 10:37:54.209881,2026-09-10 10:37:54.209881
d261a7ab-3aa2-e4f9-0e51-f30dc6a7ee39,NS-1003,Digby Eggs Inc.,825 Highway,Site 2,Windsor,NS,B0N 4C3,Pat Cameron,(902) 780-6155,pat.cameron@example-farm.ca,LIC-37869,True,False,False,False,Active,2026-09-10 10:37:54.209881,2026-09-10 10:37:54.209881
5cabcc97-663f-1c97-9562-69f0e5d7b875,NS-1004,Kings Hatchery,142 Church St,Site 2,Sydney,NS,B1P 1B1,Dana Cameron,(902) 356-3621,dana.cameron@example-farm.ca,LIC-99192,True,False,False,False,Active,2026-09-10 10:37:54.209881,2026-09-10 10:37:54.209881
5715bd6f-a416-1293-c4c2-e2e3444ea7c8,NS-1005,Sunnybrook Layer Farm,301 Farm Rd,,Amherst,NS,B4H 7A4,Kim Ferguson,(902) 712-3927,kim.ferguson@example-farm.ca,LIC-76542,True,False,False,False,Inactive,2026-09-10 10:37:54.209881,2026-09-10 10:37:54.209881
52fbe43b-9954-6eb4-0025-7ad1eb2263dd,NS-1006,Hants Producers Co-op,20 Main St,Unit A,Digby,NS,B0V 4H0,Chris Cameron,(902) 446-2290,chris.cameron@example-farm.ca,LIC-21226,True,True,False,False,Active,2026-09-10 10:37:54.209881,2026-09-10 10:37:54.209881
847fd9b4-e64d-1bcb-7027-53a15f987c71,NS-1007,Sunnybrook Eggs Ltd.,124 Rural Route,,Sydney,NS,B1P 1L0,Taylor Stewart,(902) 802-4770,taylor.stewart@example-farm.ca,LIC-87128,True,False,False,False,Active,2026-09-10 10:37:54.209881,2026-09-10 10:37:54.209881
7900f7f9-9382-9b43-922f-e15ae1e3db63,NS-1008,Sunnybrook Egg Farm,804 Farm Rd,Site 2,Yarmouth,NS,B5A 3D1,Casey MacDonald,(902) 874-8062,casey.macdonald@example-farm.ca,LIC-56438,True,True,False,False,Active,2026-09-10 10:37:54.209881,2026-09-10 10:37:54.209881
23e2fcb4-72d8-567d-894a-05e430b187ef,NS-1009,Pictou Egg Farm,188 Highway,Site 2,Digby,NS,B0V 3C7,Morgan MacDonald,(902) 763-2604,morgan.macdonald@example-farm.ca,LIC-16630,True,False,False,True,Active,2026-09-10 10:37:54.209881,2026-09-10 10:37:54.209881
fc3d3348-008d-4127-6104-61e32a25a888,NS-1010,Queens Egg Farm,272 Farm Rd,Unit A,Kentville,NS,B4N 6Y8,Pat Cameron,(902) 877-8973,pat.cameron@example-farm.ca,LIC-30289,True,False,False,False,Active,2026-09-10 10:37:54.209881,2026-09-10 10:37:54.209881
3c365296-dca0-2eec-acda-bacc1165e210,NS-1011,Bras d'Or Egg Farm,123 Church St,,Wolfville,NS,B4P 9V0,Jordan MacKenzie,(902) 834-2343,jordan.mackenzie@example-farm.ca,LIC-64948,True,True,False,False,Active,2026-09-10 10:37:54.209881,2026-09-10 10:37:54.209881
